Genes	Protein.Group	Protein.Names	DOUBLEdep_1	DOUBLEdep_2	DOUBLEdep_3	SONdep_1	SONdep_2	SONdep_3	SRRM2-dep_1	SRRM2dep_2	SRRM2dep_3	control_1	control_2	control_3	Top3_DOUBLEdep_1	Top3_DOUBLEdep_2	Top3_DOUBLEdep_3	Top3_SONdep_1	Top3_SONdep_2	Top3_SONdep_3	Top3_SRRM2-dep_1	Top3_SRRM2dep_2	Top3_SRRM2dep_3	Top3_control_1	Top3_control_2	Top3_control_3	peptides_counts_all
SLC7A1	P30825	SL7A1_HUMAN	34951.2	48680.8	NA	NA	29169.3	4229.06	10329.5	46237.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
SLC7A5	Q01650	LAT1_HUMAN	6036.64	2856.65	5957.95	3271.39	3004.59	4816.14	1680.54	4124.31	3821.95	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
SLC8A1	P32418;P32418-5	NAC1_HUMAN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	942.546	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
SLC9A3R1	O14745	NHRF1_HUMAN	70074.3	67997.2	67710.5	61778.7	64185.3	66507.7	60819.7	66356.4	71418.8	65875	62515.3	64460.3	53101.5451307636	77055.0001110359	62109.2236869717	65890.9455781024	47818.4476570516	85385.5620118416	37611.8047053	82539.513986048	77002.3868786222	46658.6489563834	46598.404851396	45659.1932811569	14
SLC9A3R2	Q15599-2	NHRF2_HUMAN	17818	16571.2	16973.2	19267.8	16614	19102.9	23237.4	22479.1	23160.8	21699	23942.6	23064.5	13177.1326281229	12776.3747906875	13136.0092752702	13601.330545295	12800.854573715	15369.5320385703	14281.4446546917	18147.6308428632	18988.8849734333	16234.4975239123	17521.2051055299	16922.7625120326	7
SLFN5	Q08AF3	SLFN5_HUMAN	12190.7	12017.5	13286.8	5986.8	10919.4	7747.99	NA	14676.2	11911.1	10765	11002.4	9802.75	6584.92885377251	7578.76870243575	NA	NA	NA	NA	NA	10028.7597343436	6560.43170858099	NA	5905.60098725538	5632.71091117304	3
SLIRP	Q9GZT3-2	SLIRP_HUMAN	182549	187244	188321	193752	170491	189197	147520	188113	179697	169435	153831	162197	132436.871451676	135796.392671723	132515.094261644	104163.137432786	126662.403806822	140036.490411941	92793.8000828951	139867.2410235	131296.035256439	129275.264868903	111673.82427673	135856.125140952	13
SLITRK3	O94933	SLIK3_HUMAN	NA	NA	NA	NA	NA	98865.9	NA	NA	NA	NA	NA	68880.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
SLK	Q9H2G2	SLK_HUMAN	131431	134551	122384	128642	132530	131659	115996	130039	124426	115629	105468	112151	31506.6577217647	30676.2865639532	101588.455250425	33004.0793490872	92840.4910523271	39850.9064448885	24800.9756508916	124909.382131246	31216.1400362283	87745.9230380349	24824.29687512	69295.0378910948	27
SLMAP	Q14BN4;Q14BN4-2;Q14BN4-3	SLMAP_HUMAN	5750.31	7102.67	5129	7845.4	6398.47	5778.33	8566.64	6308.78	7571.25	8068.27	7636.64	5981.27	5979.77014525157	7719.86187606506	5126.34432895923	7870.01519478811	5971.11335568259	6046.68165724991	6577.59964883468	6724.2704834866	7290.03437416535	7340.99858870258	6682.39291211336	5856.44572787422	5
SLTM	Q9NWH9	SLTM_HUMAN	30695.9	30374.2	30029.8	27010.1	29138.8	28695	19389.9	28081.2	27065.3	26335.2	24325.1	25481.7	30496.3085721506	27830.2118795754	26273.941093393	21394.7933739036	28220.045733579	25561.1232892364	16062.0762030422	22396.4536131054	24795.0877637842	27026.0371042158	25755.1574146233	28543.654847778	19
SLU7	O95391	SLU7_HUMAN	14462.3	16232.5	16517.1	16951.1	15038.1	17260.2	11962.3	14032.1	14036.5	12383.1	10674.9	12121.5	9929.00130110342	12023.3227042476	14410.8735947004	11917.9543774365	13199.1988393059	14253.8920132404	8245.61164942491	13741.1775075765	10124.0458226942	10359.2315160613	9255.50620395196	10252.1849739664	7
SLX4	Q8IY92	SLX4_HUMAN	NA	NA	NA	NA	5012.97	NA	NA	NA	NA	3945.65	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
SMAD1	Q15797	SMAD1_HUMAN	2648.91	6796.86	3110.73	6507.62	2689.18	5051.56	2042.96	9000.9	5393.88	2076.45	1737.74	2202.96	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
SMAD2	Q15796;Q15796-2	SMAD2_HUMAN	17873.9	13579.2	17574.2	18609.8	17237.2	16296.1	17970.1	17425.4	17653.2	22402.9	17538.1	20720.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
SMAD3	P84022;P84022-2	SMAD3_HUMAN	NA	NA	NA	4329.57	NA	5397.42	1889.2	3684.6	4134.3	NA	1307.67	887.252	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
SMAD4	Q13485	SMAD4_HUMAN	19946.1	20330.1	17321.8	23221.9	16309	23443.2	9806.81	23014.9	21001.7	15241	13703.4	16544.9	13026.2681530838	19217.4754296539	13946.352236877	17936.0573357861	12117.4296332861	16585.1919124454	5997.17394048474	21924.525116094	15228.9994971347	10807.7198196294	9904.25484120119	11840.6133931645	7
SMAD5	Q99717	SMAD5_HUMAN	3755.8	NA	3118.25	1826.18	4205.73	2998.59	5428.84	2441.38	3275.4	2652.61	4446.63	2100.49	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
SMAP	O00193	SMAP_HUMAN	147685	155397	145024	161310	139783	136730	117006	150660	147648	147446	133415	130171	64088.2258521481	62892.5011388457	58760.9366836279	48824.6067124051	56093.9700462595	55427.9252678513	45416.5754585237	50188.9750386289	64697.0325433937	63520.484687391	63679.4302456732	67913.1257552186	5
SMAP2	Q8WU79	SMAP2_HUMAN	10180.7	10976.2	11729.1	8014.18	12145.2	10810.4	8597.08	11653.4	10637.6	10565.8	7108.95	9203.5	NA	NA	7721.68021839843	6195.20028927891	NA	7933.48787799262	NA	7690.83384429523	7762.70242838168	NA	NA	NA	3
SMARCA1	P28370;P28370-2	SMCA1_HUMAN	18068.6	17835.9	20614.1	20864.5	21088.5	17362.7	18796.6	16229.6	17596.4	17620.2	18313.1	17099.4	16655.180773957	18037.4640378568	19784.9537240355	21066.2727790513	19036.8645598424	15374.2300818529	10329.0100097853	15840.4766269394	16990.8590254633	14400.0473567272	14245.895607999	12706.0018538236	7
SMARCA2	P51531;P51531-2	SMCA2_HUMAN	NA	6228.56	NA	7004.52	6243.17	3760.55	4756.92	4711.03	NA	5421.83	NA	5024.08	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
SMARCA4	P51532;P51532-2;P51532-3;P51532-4;P51532-5	SMCA4_HUMAN	53933.2	55974	53767.8	52188.6	55052.1	51575.8	56675.8	56427.6	52348.7	58803.5	51071.9	52018.2	43792.6734989409	46056.9922877983	45454.915049107	33460.008081704	47654.3131250594	44379.9502648819	41900.2292521248	43161.2235250968	42579.7127521424	42519.9321153413	29843.1254265802	42139.1159564322	17
SMARCA5	O60264	SMCA5_HUMAN	53671.9	53408.5	51425.2	50240.2	51968.5	51051.6	41891.9	49672.9	49330.2	45035	43733.9	47207	54584.506586314	49253.360842072	54560.7988106827	41167.107339856	51884.221253897	60116.7907016778	38410.3913826431	42596.0114910944	51935.2184707884	37889.7177163404	42690.7539325913	48247.805436808	27
SMARCAD1	Q9H4L7;Q9H4L7-2	SMRCD_HUMAN	47119.6	50060.8	50406.2	48456.4	46837.2	42354.6	48881.7	39598.6	45016	45863.1	48669.9	42799.2	34181.0265977637	43397.6135134375	41800.3595537644	42589.6371548005	37214.2537252822	29033.7179960854	34821.3748092927	34137.157730833	38492.6997940804	33217.0264731066	35125.9138042252	31657.6825295754	24
SMARCAL1	Q9NZC9	SMAL1_HUMAN	9440.6	9212.99	9560.07	9158.86	9273.4	10365.7	9314.34	9615.15	9022.8	9492.13	8077.36	8607.72	8329.48919141858	7462.04165031969	8380.90483662812	7668.14664219177	9146.60966071098	10024.0418413944	6468.13796582295	9120.05896150662	8417.8049105	8534.76997761738	7296.24980493035	6478.7287923258	3
SMARCB1	Q12824	SNF5_HUMAN	19216.7	21032.7	19429.6	21741.4	18623.8	20453.8	12877.1	25101.3	18088	17525.5	14359.8	16847.9	16269.3895936284	19992.010320846	18774.68013073	19429.9726647353	15579.8362986329	15929.209475513	14303.2826793563	21356.0442731751	15458.2200976104	15845.2401981361	16924.3372470247	16398.7411089804	12
SMARCC1	Q92922	SMRC1_HUMAN	249647	267580	268193	285612	238706	255917	225208	230231	244687	235853	197029	229707	129125.630558892	149667.37307338	161878.882994938	144295.680902096	134571.814165062	150509.943831969	87863.7025462411	128085.354472544	113573.860482389	121358.476524008	94022.376371592	84788.7983073958	25
SMARCC2	Q8TAQ2;Q8TAQ2-2;Q8TAQ2-3	SMRC2_HUMAN	34874.1	39937.8	37493.2	37729.4	37975.3	33282.2	38141.7	43594.2	43717.9	53130.6	50808.5	50318.1	24917.9160481113	31144.437766246	27962.0207530243	28354.558841645	26008.1034735312	24936.6354649257	25935.2151806324	36667.0315985502	36339.4551378336	36753.213879188	35208.6640979199	36504.385378629	12
SMARCD1	Q96GM5	SMRD1_HUMAN	26271	24019.8	25750.3	25692.7	25498.7	25630.9	26047.8	19937.3	20312.8	27843.5	26526.7	26585.7	11337.9714138007	12174.845932977	12779.5734424053	14319.2183561483	11779.3845227766	11494.5230611276	9888.0317161015	12481.7040547742	12213.2862126993	13746.5984540416	9605.4100047247	8611.47389070232	9
SMARCD2	Q92925;Q92925-2;Q92925-3	SMRD2_HUMAN	25954.5	28195.5	26827.4	30283	34138.7	27078.1	38453.9	33490.4	28988.5	35467	35286.1	42253.4	20200.103610175	19663.2339352698	20795.8084339014	21483.0295196073	30412.8932004309	19452.9261097916	25631.4671343012	26727.7577210425	26316.2477025204	29775.2584720711	25844.5280161769	31616.4350521043	15
SMARCD3	Q6STE5;Q6STE5-2	SMRD3_HUMAN	4768.02	2285.12	NA	4130.79	3232.66	5712.37	NA	NA	6383.77	5961.51	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
SMARCE1	Q969G3;Q969G3-2	SMCE1_HUMAN	60902.3	69967.5	75269.4	71280.5	58925.6	64292	50822.7	61799.5	59356.9	53767.5	57171.4	52531.5	54505.0248470689	61796.3911492862	69449.5042960507	56060.7771391601	52256.584146275	54894.7119118774	44572.221176468	57088.0499160842	51188.9288315174	49728.7006127884	54180.9134793444	50059.9387516646	14
SMC1A	Q14683	SMC1A_HUMAN	79990.7	78842.9	82075.4	84212.7	80247.6	78045.9	81593.1	81017	84562	84465.6	83655.8	81372.7	83345.6186005508	82423.7005297282	60227.1820763957	57425.3389473829	58371.3303895579	70613.0123866765	73021.5686564484	69947.9487372165	86982.7019065442	61145.5198562064	80241.1417159862	93945.8496071713	44
SMC2	O95347	SMC2_HUMAN	61605	60909.3	53046.6	57003.4	55257.1	55587.1	48359.6	56924.8	57456.9	51963.3	52175.3	52985.2	57694.3379172398	56636.8109727258	45721.7834479784	40656.2799494221	52934.3628584422	44822.2577466039	47498.6810004517	51360.3978079369	47561.1911124557	41902.6907891071	56410.1613224649	57405.874345968	34
SMC3	Q9UQE7	SMC3_HUMAN	99949.3	95323.3	99563.7	100862	106429	101605	98719.2	90840.4	92331.7	95643.9	98668.6	109394	84236.8621759823	77608.3838809977	77762.243068265	64255.9237923683	69197.5861483861	75020.4748698231	70519.0006602618	73633.9741993853	60096.7020481131	84086.5663392826	69538.3401280368	75976.1346031774	37
SMC4	Q9NTJ3	SMC4_HUMAN	57232.9	56436.6	55774.9	57203	61776.5	55117	56432.2	50610.9	53386.1	56948.6	60109.1	58730.3	53027.2006416136	55228.5503086094	50222.9948296417	50163.4999345632	51011.7612399533	56804.8146704654	43305.5862179386	50610.7501927618	50236.7149869104	56502.1966829498	59927.4255679274	51379.029141997	50
SMC5	Q8IY18	SMC5_HUMAN	13299.4	16313.4	11806.8	16183.2	10224.7	13967.4	9305.5	15602.5	16085.2	13212.4	10226.2	12735.3	13828.0700690128	15787.7022724347	12446.8118402687	15266.9773019234	7003.2067492169	13379.2877809459	7725.13773040266	14138.3587311461	14288.8275633289	9868.94517661019	6899.58819683275	13085.0751785613	8
SMC6	Q96SB8	SMC6_HUMAN	10545.3	10534.7	9798.08	10767.1	11046.3	10400.1	6881.37	10968.6	10300.8	9462.89	9327.88	9100.56	8669.99759110264	10403.6765328014	8937.59092238854	8706.04685799427	9842.21017188305	7960.83716147817	5772.44090380229	10302.8360529731	9460.95884918109	8190.26369717313	8094.80801479608	8332.30476124578	10
SMCHD1	A6NHR9	SMHD1_HUMAN	38210.9	43654.4	41984.4	42268.8	38299.1	41608.4	33863.1	39250.9	36754.2	37096.4	35847.6	33085	32960.9887092169	39731.0754248533	41121.9707675425	40112.4529756633	52209.058553414	34068.30458833	39044.1738145546	37542.9059403453	28323.7851926868	35188.3654277619	34036.1138173542	36798.8370107683	40
SMDT1	Q9H4I9	EMRE_HUMAN	NA	2160.16	2193.73	2870.77	2087.28	NA	1368.05	2698.74	1802.99	1881.79	2052.51	1558.46	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
SMG1	Q96Q15;Q96Q15-2;Q96Q15-3	SMG1_HUMAN	10750.5	9960.51	9833.59	9324.93	10036.9	9570.41	11171.3	7399.51	9878.59	8811.86	10593.2	11865.7	10618.4363634897	12120.5483628075	9884.45707793798	9216.15820894664	7919.84911712299	10409.2983459061	8084.59876850953	9868.36338759573	10787.5921146258	8266.6947656316	7478.16951222619	9640.59761909643	11
SMG5	Q9UPR3	SMG5_HUMAN	9893.1	7659.2	8536.64	9770.06	10798.8	9521.96	7063.3	7485.6	9691.68	8754.7	7556.85	9261.37	5745.17894416922	3827.90758305434	5432.25117484528	5904.99799197692	6749.32227829623	NA	4770.79654891896	4254.67533089914	4713.59944653739	5690.26319977097	4842.04049895463	5815.08215151268	4
SMG6	Q86US8	EST1A_HUMAN	25283.6	23946.9	26261	30229.8	25646.1	25034.8	18329.3	27486.5	23942.7	26726.9	24896.3	25312.5	17271.6068471667	16733.1740136315	10948.0113030133	10933.5449210389	16048.1403820651	18446.2034796041	9369.22617377151	9693.18796895717	16004.9795403119	19030.4108289264	16132.5838347672	19355.6510832253	5
SMG7	Q92540;Q92540-2;Q92540-4;Q92540-5	SMG7_HUMAN	9987.12	11399.7	10534.1	11993.2	9520.73	10164	11201.2	10885.3	12574.2	10357.9	10433.8	13065.1	5934.09942687962	8731.85819399062	6962.8231703645	9205.89690063087	6515.23506216635	8837.93534918421	6963.91399759349	9978.9553385114	10553.5325237454	5629.70512340081	7542.31715259352	10083.7926767838	6
SMG8	Q8ND04;Q8ND04-2	SMG8_HUMAN	28534.8	32435.6	30248.6	31708.7	31138.8	29670.6	30189.5	27728.8	30101.7	31845.7	25375.7	27678.9	16263.919534108	18195.0077561078	18011.591221367	18878.0179078029	20316.4770713442	14097.3638969908	16478.3573460699	17801.8989110306	18822.6292422539	19666.119764479	15789.2398484623	18143.0752010457	9
SMG9	Q9H0W8;Q9H0W8-2	SMG9_HUMAN	4010.05	5009.87	3295.52	3803.66	3745.55	4798.9	4122.46	12170.8	6730.19	3878.31	1858.18	3366.23	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
SMIM20	Q8N5G0;Q8N5G0-2	SIM20_HUMAN	18665.4	15248.3	19848.8	16309.5	16183.8	14852.5	12344	13882.7	15638.4	15408.2	14863.8	16945.3	11223.7752248166	10120.3113129059	11822.1366982666	9668.09933622799	10612.1860071338	9810.9087063702	7445.76429161389	11652.8303455313	11325.6653730261	9764.7047907026	9682.61228063125	11657.1313452647	3
SMN1	Q16637;Q16637-2;Q16637-3;Q16637-4	SMN_HUMAN	52340	44294.4	50376.2	46602.2	47447.8	45532.6	47974	47843.6	48087.4	53482.8	52567	52891.2	30730.2433102763	29917.107712545	35700.6190482222	32503.5102497161	33246.7958329421	31149.6834989509	28614.9667561068	37918.5746157709	30323.1678516585	32135.7847846768	32744.4497193854	32433.4029844336	5
SMNDC1	O75940	SPF30_HUMAN	47305.7	43068	48006.2	47779.7	46602.3	49608.9	60865.6	47997.8	50069.1	53936.9	51623.2	48959.3	37428.7187772461	36000.4597774501	44273.5618822781	37255.0244312253	36863.5031466377	70458.9938964005	46744.1374506094	47613.3373703393	49457.4868629377	46646.0784446253	45054.6138395305	41146.7329790724	7
SMOX	Q9NWM0;Q9NWM0-2;Q9NWM0-4;Q9NWM0-6	SMOX_HUMAN	NA	3003.06	7813.3	NA	2397.29	7837.72	NA	NA	3147.47	2966.07	NA	2684.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
SMPD2	O60906	NSMA_HUMAN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2851.85	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
SMPD3	Q9NY59;Q9NY59-2	NSMA2_HUMAN	39110	50482.5	65567.2	59916	57613.5	51710.4	45608.6	55396	41409.8	55410.4	55390.1	52894.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
SMPD4	Q9NXE4;Q9NXE4-2;Q9NXE4-4;Q9NXE4-6	NSMA3_HUMAN	23580.8	19060.2	17430.9	18156.5	20274.1	20033.7	20282.4	24186.2	27013.1	24803	23312.6	23274.3	13228.3281253606	9296.17743055372	10575.9371314633	11319.1893709014	9482.67649260999	12494.4564267516	13397.1651448995	13314.7659113712	13123.4824100071	11215.7687403056	15453.5737768481	11403.1082225632	5
SMPDL3B	Q92485;Q92485-2	ASM3B_HUMAN	4167.27	3970.58	5052.22	6074.16	4440.79	3557.95	6488.58	5504.16	4682.38	5901.39	5408.08	8114.84	2568.71278417502	2805.936424655	3355.2109731491	NA	3083.19490186842	NA	NA	4638.07880296577	3177.2856250952	NA	NA	NA	3
SMS	P52788	SPSY_HUMAN	141522	130808	131273	139573	133909	137995	120147	120757	126908	129478	110768	131833	97869.6076397028	98086.4456655476	96615.1871546215	100078.644206591	98836.043170797	88828.6937676259	86213.9478241486	94002.5562204578	93037.025061282	95434.9641089791	88739.749948694	97509.8731216333	15
SMTN	P53814-5	SMTN_HUMAN	11610.8	9936.66	8917.94	10427.2	11406.8	10735.5	13406.6	15834.4	15825.1	14825.1	13497.8	15373.9	8951.42492110614	6431.31185039325	5939.52947811049	8179.79026553756	10240.412011743	8639.47893387421	9553.9512234104	13944.2975642511	13533.7663661921	12906.7732615022	12407.2051487095	14579.9059679395	5
SMU1	Q2TAY7	SMU1_HUMAN	111543	121922	113177	115676	102390	112298	99385.8	117386	105387	102960	100699	101427	79289.8819345583	83545.7428827566	79223.5137336285	79673.4790462167	75475.397690386	55379.38752636	76582.3452529038	79162.589162639	73267.9816689313	80364.567008108	88478.9163468414	74497.1443615365	19
SMURF2	Q9HAU4	SMUF2_HUMAN	11335.6	12701.6	15792.1	12725.2	14156.6	12714.5	13662.2	12680.4	9899.86	12175.2	12365.9	11427.7	8835.86067238618	10471.7855508162	12080.8522257757	11958.4091550992	12648.7081670053	11065.9229570868	12606.5111403947	11281.0611641096	8324.84963506823	8665.28117918389	10574.7788796573	11603.7496530887	7
SMYD2	Q9NRG4	SMYD2_HUMAN	23302.2	20928.1	20196.4	18710.4	23733.9	17929.1	22314.1	16583.8	20261	23987.4	24646.4	24442.4	12544.1490648994	12115.1217471563	12048.5659835566	12185.1885265323	12719.4854602849	10263.2402139284	9333.12596582053	11152.7819929767	14184.6342366566	13025.1774353363	11996.3085389793	8762.04518411907	4
SMYD3	Q9H7B4	SMYD3_HUMAN	9486.68	7600.05	6622.64	6992.24	10071.5	7534.91	10404.6	7105.58	7968.26	11722.7	6629.32	8251.21	4711.72689331371	4317.92244858318	2634.11258321218	3987.05483870797	NA	3682.35397768691	NA	3339.58712796823	4426.08199320996	NA	NA	NA	3
SMYD4	Q8IYR2	SMYD4_HUMAN	10303.4	6199.65	9895.88	8233.78	NA	8332.03	8017.94	NA	NA	5660.77	5132.64	7677.75	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
SMYD5	Q6GMV2	SMYD5_HUMAN	20518.3	18237.5	17950.4	19362.6	18726.3	18492.8	19590.4	22661.1	26442.8	20431.6	21064.8	20217.9	14596.4669785885	13846.3738790052	13103.2837596813	14488.3942508627	14915.2113675202	15145.3473450663	11931.9258412655	19405.9274875264	21069.2918450371	14233.9747489579	12291.4009022465	12651.4689955729	8
SNAP23	O00161	SNP23_HUMAN	25652.8	25190	28409.4	29016.5	22801.2	29611.4	16924.3	32454.1	28746.6	28289.7	23691.9	22916	16872.1497471209	18409.5153436557	21385.0183387504	18839.1469781182	15352.3803863425	21828.0359739571	9495.71677413061	26950.1876926725	26462.0802111649	15399.4853872717	12792.4503623955	11053.4034897418	4
SNAP29	O95721	SNP29_HUMAN	48830.4	43786.2	44135.6	37214	52255.5	33084.6	61551.6	41968.2	47775.7	57220.3	70024.7	71716	32281.387038114	24440.4045439072	17136.3348730001	17747.1262339717	20670.0901927095	20589.3667045368	26721.4262172894	30333.122361523	23567.8299033019	28294.5986830461	32630.8793227453	28203.9574680185	6
SNAPC1	Q16533	SNPC1_HUMAN	4493.22	3972	5735.93	5196.85	6823.73	4432.67	7471.48	6606.35	5056.83	9360.59	7973.82	7431.78	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
SNAPC4	Q5SXM2	SNPC4_HUMAN	NA	3578.53	NA	NA	NA	NA	7546.18	5501.96	7119.59	8765.31	9314.65	6774.72	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
SNAPIN	O95295	SNAPN_HUMAN	5464	5784.56	5087.79	7859.88	5240.44	8021.26	3220.42	6095.05	5256.27	4780.29	3983.04	4289.54	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
SNCG	O76070	SYUG_HUMAN	46010.5	48640.4	40079.1	47432.3	50652	51542	33148.1	60176.7	58721	52820.4	38375.9	48768.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
SND1	Q7KZF4	SND1_HUMAN	269819	266785	265474	266895	279495	259201	241840	242484	256166	253250	248524	256076	195095.068499656	207790.850267588	228387.718942996	218626.055175117	237334.058774035	198151.724237389	201656.355472963	195933.394461808	182500.845726951	213446.494761355	163393.521036843	202099.427754415	46
SNED1	Q8TER0;Q8TER0-3;Q8TER0-4;Q8TER0-5	SNED1_HUMAN	NA	NA	NA	3136.86	NA	3555.16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
SNF8	Q96H20;Q96H20-2	SNF8_HUMAN	17459.9	19463.8	19918	17579.3	18575.4	20829.4	17184	14562.6	13693.5	15892.5	15892.8	20870.2	9160.78960909531	9832.37389964928	9303.77871657673	10825.8639552652	8868.17165757462	9766.45598887204	NA	9869.33697339595	6276.35920166673	6696.37039124362	7964.30924241073	NA	3
SNIP1	Q8TAD8	SNIP1_HUMAN	21829.5	23621.2	19521.9	23453.7	26488.6	25112.1	19421	21536.8	26949.7	22060.2	21059.9	25023.8	13609.7947408203	15445.8224826881	16138.3007956536	17389.3853031262	18444.0242150748	20676.0845832036	16459.2907937311	14760.7520873229	16444.4018774395	17971.9012468036	18544.6083679913	17171.0549987305	6
SNRNP200	O75643	U520_HUMAN	141600	142922	142703	146543	155537	148124	176635	174177	162884	183628	169407	165939	123376.897388343	140262.902163384	121944.907790357	122628.651572929	149058.354644945	131580.556267318	167253.624947563	161077.471930916	125016.865614831	170548.036623884	173761.579283105	139010.602014313	80
SNRNP27	Q8WVK2	SNR27_HUMAN	35476.8	38521.4	54089.9	56178.9	36563.7	84974.8	21864.4	49590.7	55715.5	31760.3	23035.7	27486.7	17156.3725937345	23435.1649875189	23758.7642778898	21014.6149526173	18616.5900588723	32278.0887014076	8058.92456314368	26351.8097510314	27225.8739133078	15405.4693514497	NA	9623.33555238337	3
SNRNP40	Q96DI7	SNR40_HUMAN	88899.3	84073.2	78941.4	78631.4	81689	86116.9	74720.3	83401.1	91861.7	88678	76249.8	86083.4	68341.9725156794	74472.4103905467	81030.9062026173	68350.051933543	63257.7541540548	75967.9433078904	55514.8107841298	69812.7813201456	76790.9802311708	79591.2484621845	58949.862140445	62206.5314785928	10
SNRNP70	P08621;P08621-2	RU17_HUMAN	153006	135941	151715	144699	151966	131160	143705	119699	137697	130408	138685	142616	147278.797148353	133279.020519289	151435.551579412	139811.286744797	153824.878106447	125961.806707055	131093.139228628	125935.049312216	126584.89760854	125774.312653588	135015.297084939	137621.413287398	13
SNRPA	P09012	SNRPA_HUMAN	153329	127390	129770	92306	99212.4	107998	133280	137329	126201	94013.4	126774	96431.3	97563.2685268476	84633.3493459661	82316.3798728946	51194.222850042	65852.9986205536	95731.8552440203	66652.367377069	77143.6612071717	90717.1872093045	52990.5290908455	80462.4893662777	41592.2766038075	6
SNRPA1	P09661	RU2A_HUMAN	72539.2	79957.2	88576	71626.1	73370.7	87971.7	68076.3	79111.2	78824.7	73643.5	68794.7	59977.8	62699.1678739078	70888.2526978185	81108.0129399794	69557.2530298887	71174.5678923852	80632.8216317152	60254.2206977283	61577.5552983138	59055.7382879097	60962.7027322163	69882.2218427802	53881.8413329951	16
SNRPB2	P08579	RU2B_HUMAN	81774.8	98785.9	80888.8	83230.3	80294.4	92973.1	68397.4	115205	94948.7	80280.8	83431	82392.4	44461.064309087	54732.1740517092	52085.4265171685	49790.5151765814	46453.0048093755	69988.4830034457	38513.043400327	48386.268319647	57740.9175970668	43348.3338361179	41816.7135419522	42929.1107314754	5
SNRPC	P09234	RU1C_HUMAN	225661	254848	248077	247390	271181	248918	228258	233097	NA	237952	NA	288210	88966.229868834	108758.841010475	108196.147326156	93403.3224244637	99856.5749595897	103782.289812327	95513.8225970206	98090.2571486846	NA	86729.4527825399	NA	109372.381050031	3
SNRPD1	P62314	SMD1_HUMAN	91400.1	92874.3	106504	88645.5	114522	81834.8	122850	89139.7	79275.3	93874.8	82341.6	71015.5	43939.2341144683	48264.6857078442	45105.2024753921	47168.8886483239	48099.2597987137	46310.4170120592	40136.2712279266	50862.6955132345	44616.4082376329	41886.387313381	33408.9508944649	31742.4858164958	5
SNRPD2	P62316	SMD2_HUMAN	448682	403638	323537	509137	448117	424632	499212	433458	406901	480010	256285	397706	180418.575894618	189897.397771441	75902.8155923948	184177.19754598	201057.99262329	174447.811455122	160962.205691346	242564.408877227	197642.938906356	187948.742983733	85007.147337872	88033.0355227923	9
SNRPD3	P62318;P62318-2	SMD3_HUMAN	938014	801883	815577	818719	888254	883794	934769	781976	807754	881680	870855	927920	353495.267173955	336997.792515534	348121.721542138	159267.52153859	332976.448159028	368326.592482659	343945.695781769	367036.781043485	335227.178919167	324240.141426881	367374.752036283	381667.719657177	8
SNRPE	P62304	RUXE_HUMAN	14086.9	20009.8	22440.2	19828.5	20939.1	21927.7	8969.21	22024.5	17307.3	14096.6	12566.2	17306.8	8018.68636923865	15996.6237158311	14746.7720642854	15548.9140613031	NA	16371.6515053302	NA	14211.0208454739	14676.2150675875	6595.59088473012	NA	NA	3
SNRPF	P62306	RUXF_HUMAN	213729	242101	271213	308062	275206	234145	304822	204708	151572	375367	NA	249234	51382.9758373541	54403.5202201786	70949.8430189804	69339.7876219024	61119.938832277	80344.1968392894	56536.8793379792	60347.4216518598	40319.5310700577	64552.3696559008	NA	58347.5746092447	3
